record_id,duration_hours,model_id,previous_reported_crps_mm,legacy_formula_crps_mm,corrected_crps_mm,zero_mass_term_mean_mm,scoring_version
edouard_2026090112_6h_f00_f06,6,ann_operational,0.483436856156072,0.483436856156072,0.48279830543897456,-0.0006385507170974181,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f00_f06,6,gnn_csgd,,0.47609460599592185,0.47595395952174435,-0.00014064647417756478,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f06_f12,6,ann_operational,1.1263652706155578,1.1263652706155578,1.1258930360482635,-0.0004722345672938284,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f06_f12,6,gnn_csgd,,1.1392099254977779,1.1389649665850945,-0.00024495891268334766,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f12_f18,6,ann_operational,0.748435656550172,0.748435656550172,0.7477507782566452,-0.0006848782935267673,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f12_f18,6,gnn_csgd,,0.8030416196193413,0.8028476810151789,-0.00019393860416256977,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f18_f24,6,ann_operational,2.7085716920007656,2.708571692000765,2.7078151297892394,-0.0007565622115261769,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f18_f24,6,gnn_csgd,,2.94178980870435,2.941492044871492,-0.0002977638328584404,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f24_f30,6,ann_operational,2.1936963984409097,2.1936963984409097,2.1929444672568876,-0.0007519311840220302,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f24_f30,6,gnn_csgd,,2.213955420272147,2.2135935290459834,-0.00036189122616395647,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f30_f36,6,ann_operational,2.0166459800955723,2.0166459800955723,2.0160561698531243,-0.0005898102424477104,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f30_f36,6,gnn_csgd,,1.9710468889818924,1.970829839555602,-0.00021704942629061557,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f36_f42,6,ann_operational,1.6323694770592407,1.6323694770592407,1.6315518945854752,-0.0008175824737656632,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f36_f42,6,gnn_csgd,,1.6431881541919202,1.643155893682408,-3.22605095121942e-05,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f42_f48,6,ann_operational,1.3043357785370702,1.3043357785370702,1.3036186330789044,-0.0007171454581655734,csgd_crps_zero_mass_v1
edouard_2026090112_6h_f42_f48,6,gnn_csgd,,1.358083231163238,1.3579764160866028,-0.00010681507663520263,csgd_crps_zero_mass_v1
edouard_2026090212_6h_f00_f06,6,ann_operational,1.8659673086788422,1.865967308678842,1.8654832709459823,-0.000484037732859469,csgd_crps_zero_mass_v1
edouard_2026090212_6h_f00_f06,6,gnn_csgd,,1.8819158130128977,1.8815533548155847,-0.000362458197313198,csgd_crps_zero_mass_v1
edouard_2026090212_6h_f06_f12,6,ann_operational,1.5660686598627065,1.5660686598627065,1.5656283748759197,-0.0004402849867867249,csgd_crps_zero_mass_v1
edouard_2026090212_6h_f06_f12,6,gnn_csgd,,1.5980903124470827,1.5975561083272076,-0.0005342041198752363,csgd_crps_zero_mass_v1
edouard_2026090212_6h_f12_f18,6,ann_operational,1.3045105046812855,1.3045105046812855,1.3036590328619493,-0.000851471819336441,csgd_crps_zero_mass_v1
edouard_2026090212_6h_f12_f18,6,gnn_csgd,,1.3033707658701454,1.30281625284173,-0.0005545130284157064,csgd_crps_zero_mass_v1
edouard_2026090212_6h_f18_f24,6,ann_operational,1.038690260552024,1.038690260552024,1.0379703025262077,-0.000719958025816172,csgd_crps_zero_mass_v1
edouard_2026090212_6h_f18_f24,6,gnn_csgd,,1.1485290734145,1.1482393484971625,-0.0002897249173377311,csgd_crps_zero_mass_v1
edouard_2026090212_6h_f24_f30,6,ann_operational,1.9124446253923475,1.9124446253923473,1.9116567506873534,-0.0007878747049939257,csgd_crps_zero_mass_v1
edouard_2026090212_6h_f24_f30,6,gnn_csgd,,1.9009850370996424,1.9004846218875378,-0.0005004152121044767,csgd_crps_zero_mass_v1
edouard_2026090312_6h_f00_f06,6,ann_operational,2.4069542743252645,2.4069542743252645,2.406364772711804,-0.0005895016134606322,csgd_crps_zero_mass_v1
edouard_2026090312_6h_f00_f06,6,gnn_csgd,,2.3281454548739235,2.3276018726970293,-0.0005435821768948393,csgd_crps_zero_mass_v1
edouard_2026090112_12h_f00_f12,12,ann_operational,1.3510066904526137,1.3510066904526137,1.3504651607108034,-0.0005415297418104587,csgd_crps_zero_mass_v1
