duration_hours,start_fhr,end_fhr,status,output_file,log_file
6,0,6,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/6h/f00_f06/hrrr_2025122900_f00_f06_anncsgd_6h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/6h_f00_f06.log
6,6,12,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/6h/f06_f12/hrrr_2025122900_f06_f12_anncsgd_6h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/6h_f06_f12.log
6,12,18,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/6h/f12_f18/hrrr_2025122900_f12_f18_anncsgd_6h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/6h_f12_f18.log
6,18,24,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/6h/f18_f24/hrrr_2025122900_f18_f24_anncsgd_6h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/6h_f18_f24.log
6,24,30,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/6h/f24_f30/hrrr_2025122900_f24_f30_anncsgd_6h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/6h_f24_f30.log
6,30,36,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/6h/f30_f36/hrrr_2025122900_f30_f36_anncsgd_6h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/6h_f30_f36.log
6,36,42,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/6h/f36_f42/hrrr_2025122900_f36_f42_anncsgd_6h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/6h_f36_f42.log
6,42,48,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/6h/f42_f48/hrrr_2025122900_f42_f48_anncsgd_6h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/6h_f42_f48.log
12,0,12,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/12h/f00_f12/hrrr_2025122900_f00_f12_anncsgd_12h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/12h_f00_f12.log
12,6,18,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/12h/f06_f18/hrrr_2025122900_f06_f18_anncsgd_12h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/12h_f06_f18.log
12,12,24,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/12h/f12_f24/hrrr_2025122900_f12_f24_anncsgd_12h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/12h_f12_f24.log
12,18,30,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/12h/f18_f30/hrrr_2025122900_f18_f30_anncsgd_12h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/12h_f18_f30.log
12,24,36,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/12h/f24_f36/hrrr_2025122900_f24_f36_anncsgd_12h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/12h_f24_f36.log
12,30,42,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/12h/f30_f42/hrrr_2025122900_f30_f42_anncsgd_12h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/12h_f30_f42.log
12,36,48,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/12h/f36_f48/hrrr_2025122900_f36_f48_anncsgd_12h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/12h_f36_f48.log
24,0,24,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/24h/f00_f24/hrrr_2025122900_f00_f24_anncsgd_24h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/24h_f00_f24.log
24,6,30,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/24h/f06_f30/hrrr_2025122900_f06_f30_anncsgd_24h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/24h_f06_f30.log
24,12,36,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/24h/f12_f36/hrrr_2025122900_f12_f36_anncsgd_24h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/24h_f12_f36.log
24,18,42,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/24h/f18_f42/hrrr_2025122900_f18_f42_anncsgd_24h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/24h_f18_f42.log
24,24,48,PASS,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/data/realtime_products/2025122900/24h/f24_f48/hrrr_2025122900_f24_f48_anncsgd_24h.npz,/data/Nasrin/Ann_csgd_project/hrrr_anncsgd_project/logs/realtime_products/2025122900/24h_f24_f48.log
