initialization,duration_hours,window,start_forecast_hour,end_forecast_hour,valid_time,verification_month,threshold,display_label,threshold_kind,domain_count,excluded_land_count,common_mask_count,threshold_minimum_mm,threshold_maximum_mm,n_samples,n_events,n_forecast_events,base_rate,H,M,F,CN,POD,FAR,CSI,brier_score,bs_climatology,brier_skill_score
2026080112,6,f00_f06,0,6,2026-08-01T18:00:00,8,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,415,329,0.031160834960204234,191,224,138,12765,0.4602409638554217,0.4194528875379939,0.3453887884267631,0.01951520742772403,0.029311671121417235,0.3342171673908827
2026080112,6,f00_f06,0,6,2026-08-01T18:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,184,70,0.01381588827151224,41,143,29,13105,0.22282608695652173,0.4142857142857143,0.19248826291079812,0.010444629903897553,0.013349740651776291,0.21761551955634362
2026080112,6,f00_f06,0,6,2026-08-01T18:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,42,2,0.003153626670671272,1,41,1,13275,0.023809523809523808,0.5,0.023255813953488372,0.002794663268668426,0.003105826272327182,0.10018686699613855
2026080112,6,f00_f06,0,6,2026-08-01T18:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,11,0,0.0008259498423186665,0,11,0,13307,0.0,,0.0,0.0007599477902578712,0.0008207698191400447,0.07410363717552304
2026080112,6,f00_f06,0,6,2026-08-01T18:00:00,8,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,3,0,0.00022554695135704083,0,3,0,13298,0.0,,0.0,0.0002243445444594323,0.00022677806079723432,0.010730827881881622
2026080112,6,f00_f06,0,6,2026-08-01T18:00:00,8,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,2,0,0.00015036463423802722,0,2,0,13299,0.0,,0.0,0.00015006471189055412,0.00015095125178222235,0.0058730211323271275
2026080112,6,f06_f12,6,12,2026-08-02T00:00:00,8,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,515,563,0.03866946989037393,226,289,337,12466,0.4388349514563107,0.5985790408525755,0.2652582159624413,0.02929196272527178,0.03623443812104759,0.19159881471276674
2026080112,6,f06_f12,6,12,2026-08-02T00:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,272,109,0.02042348701006157,36,236,73,12973,0.1323529411764706,0.6697247706422018,0.10434782608695652,0.016783750170072238,0.019736454305815245,0.14960661575737078
2026080112,6,f06_f12,6,12,2026-08-02T00:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,114,2,0.008559843820393452,0,114,2,13202,0.0,1.0,0.0,0.007656464409640534,0.008452265937828508,0.0941524478810265
2026080112,6,f06_f12,6,12,2026-08-02T00:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,36,0,0.0027031085748610902,0,36,0,13282,0.0,,0.0,0.0026363260079632542,0.0026971995579756565,0.022569168021846386
