duration_hours,group,threshold_label,threshold_mm,n_samples,n_events,test_event_rate,validation_climatology,bs_anncsgd,bs_raw_hrrr,bs_validation_climatology,bss_anncsgd,bss_raw_hrrr,roc_auc_anncsgd_hist,roc_auc_raw_hrrr,auc_histogram_bins,ann_probability_cutoff_from_2024,ann_pod,ann_far,ann_csi,raw_pod,raw_far,raw_csi,ann_bs_reduction_vs_raw_fraction,ann_bss_advantage_over_raw,ann_auc_advantage_over_raw
6,overall,0.25in,6.35,38888560,940584,0.0241866502642422,0.0252138319723419,0.015738918198394,0.0261635041256348,0.0236027113154989,0.3331732957281482,-0.1084957052563027,0.9543626150692134,0.7117352646333232,10001,0.2485,0.5028865045546171,0.4943935163608843,0.3371154321748755,0.4363108451770389,0.5428212077967941,0.2874164476891098,0.3984399749048473,0.4416690009844509,0.24262735043589023
6,overall,0.5in,12.7,38888560,392100,0.0100826566990395,0.0106401049731781,0.0075155422306708,0.0128571230202404,0.0099813074815071,0.2470383018862769,-0.2881201229459555,0.9586261145862164,0.666780035950968,10001,0.2128,0.4038102524866105,0.5732110655571998,0.2618151152119453,0.3398240244835501,0.6440963179614568,0.2104178510517339,0.41545692462929573,0.5351584248322324,0.29184607863524836
6,overall,1in,25.4,38888560,103842,0.00267024543979,0.0028805154616333,0.0022991895934863,0.0042115213317232,0.0026631594425633,0.1366684409727488,-0.5814003714586258,0.9607231369832976,0.6080528456424312,10001,0.1789,0.2628127347316115,0.6782177050417394,0.1691279909272881,0.2182353960825099,0.7847086317949498,0.1215498653736819,0.45407148334553116,0.7180688124313745,0.35267029134086636
6,overall,2in,50.8,38888560,13030,0.0003350599765072,0.0004079486491432,0.0003201444308655,0.000673668554454,0.0003349530240779,0.0442109554112585,-1.0112329372409,0.9537414326178578,0.5493151987408114,10001,0.1096,0.1335379892555641,0.8284192880386549,0.081190798376184,0.099002302379125,0.9180848361696724,0.046929569266589,0.5247745664409509,1.0554438926521583,0.40442623387704646
12,overall,0.5in,12.7,33987536,798054,0.0234807842498497,0.0246288507281615,0.0148827234768977,0.0250754276508894,0.0229307550775003,0.3509710680438663,-0.0935282142319615,0.9628490924318236,0.7199831878359501,10001,0.2672,0.5154237683164297,0.4754745564303257,0.3512918003217971,0.4524794061554731,0.5349032204883025,0.2976070482257871,0.4064817683629883,0.4444992822758278,0.24286590459587354
12,overall,1in,25.4,33987536,249403,0.0073380724039542,0.0080144334800964,0.0055756955859853,0.0098933915068159,0.0072846825616538,0.2346000613210689,-0.3581088020079495,0.9688240188728392,0.6621648384291979,10001,0.223,0.3783835799890138,0.5754683029528728,0.2501026966143245,0.3293384602430604,0.6729198606271777,0.1963192236908147,0.43642222364858296,0.5927088633290184,0.30665918044364127
12,overall,2in,50.8,33987536,38342,0.0011281194376667,0.001383537140396,0.0009921281619543,0.001943153513688,0.001126912022404,0.1196045989128486,-0.7243169609130444,0.9707951127080724,0.6041892133930759,10001,0.156,0.2443795315841636,0.6869152632985832,0.1590831918505942,0.2094309112722341,0.8165032791755216,0.1084065718952924,0.48942368425061056,0.843921559825893,0.36660589931499654
12,overall,3in,76.2,33987536,8263,0.0002431185361598,0.000345356127894,0.0002306969728306,0.000483118281949,0.0002430698820623,0.0509026833218914,-0.9875694917440055,0.9602007574984688,0.5631587822837465,10001,0.1069,0.152002904514099,0.8046352465391197,0.0934802024412027,0.1265884061478882,0.8979412625622012,0.0598877819764113,0.5224834549834871,1.038472175065897,0.3970419752147223
24,overall,0.5in,12.7,24238760,1240965,0.0511975447588903,0.052998619645469,0.0280041534504362,0.0474669908856723,0.0485796000402987,0.4235408807975858,0.0229028059865348,0.9591989746857468,0.7552906727703095,10001,0.3008,0.5951739170726008,0.4103224508435713,0.420871305431,0.5355477390579105,0.4635024475930925,0.3661409579552397,0.4100288868555785,0.40063807481105096,0.2039083019154373
24,overall,1in,25.4,24238760,460544,0.0190003118971432,0.0204302756389025,0.0127145381742657,0.0222464350486576,0.0186413448412572,0.317938792370506,-0.1933921741215523,0.9666021721175412,0.7062259453289348,10001,0.2439,0.4825814688715953,0.5046393395488373,0.3235282557714675,0.4239725194552529,0.5838473309775404,0.2658437760386883,0.4284685098328631,0.5113309664920582,0.2603762267886064
24,overall,2in,50.8,24238760,86106,0.0035524094466878,0.0042639994898242,0.0027983751945877,0.0053616191587358,0.0035402961942004,0.2095646688624804,-0.5144549677846206,0.9740383285274627,0.6556465321763622,10001,0.1999,0.337107750911667,0.586138557394813,0.2281709847817884,0.3142289735906905,0.7238151622485123,0.1723200183420798,0.47807274039069936,0.724019636647101,0.3183917963511006
24,overall,3in,76.2,24238760,22804,0.0009408072030087,0.0012449110998195,0.000787162509359,0.0015648490269304,0.0009400145639955,0.1626060494071212,-0.6647072150446136,0.9734841619019576,0.6319082592847745,10001,0.1511,0.3070952464479916,0.6397633744855967,0.1987174030248857,0.2646904051920715,0.7780719170527245,0.1372879042896783,0.4969722345016925,0.8273132644517348,0.3415759026171832
24,overall,5in,127.0,24238760,2399,9.89737098762478e-05,0.0001788906557609,9.448037059494544e-05,0.0002111081589982,9.897030079924068e-05,0.0453664399121408,-1.1330455428892892,0.9338214315814116,0.5860129392748451,10001,0.0959,0.208420175072947,0.8089415361100497,0.1107174490699734,0.1721550646102542,0.8834650112866818,0.0746835443037974,0.5524551441152445,1.17841198280143,0.3478084923065665
